Month;Line;Datum::text;Text::text;A 1::number;A 2::number;A 3::number
Jan;0;a0;01;02;03;04
Jan;1;b1;11;12;13;14
Jan;2;c2;21;22;23;24
Jan;3;d3;31;32;33;34
Jan;4;;;;;
Jan;5;;;;;
Jan;6;;;;;
Jan;7;;;;;
Jan;8;;;;;
Jan;9;;;;;
Jan;10;;;;;
Jan;11;;;;;
Jan;12;;;;;
Jan;13;;;;;
Jan;14;;;;;
Jan;15;;;;;
Jan;16;;;;;
Jan;17;;;;;
Jan;18;;;;;
Jan;19;;;;;
Feb;0;fa0;01;02;03;04
Feb;1;fb1;111;122;133;144
Feb;2;;;;;
Feb;3;;;;;
Feb;4;;;;;
Feb;5;;;;;
Feb;6;;;;;
Feb;7;;;;;
Feb;8;;;;;
Feb;9;;;;;
Feb;10;;;;;
Feb;11;;;;;
Feb;12;;;;;
Feb;13;;;;;
Feb;14;;;;;
Feb;15;;;;;
Feb;16;;;;;
Feb;17;;;;;
Feb;18;;;;;
Feb;19;;;;;
Mär;0;;;;;
Mär;1;;;;;
Mär;2;;;;;
Mär;3;;;;;
Mär;4;;;;;
Mär;5;;;;;
Mär;6;;;;;
Mär;7;;;;;
Mär;8;;;;;
Mär;9;;;;;
Mär;10;;;;;
Mär;11;;;;;
Mär;12;;;;;
Mär;13;;;;;
Mär;14;;;;;
Mär;15;;;;;
Mär;16;;;;;
Mär;17;;;;;
Mär;18;;;;;
Mär;19;;;;;
Apr;0;;;;;
Apr;1;;;;;
Apr;2;;;;;
Apr;3;;;;;
Apr;4;;;;;
Apr;5;;;;;
Apr;6;;;;;
Apr;7;;;;;
Apr;8;;;;;
Apr;9;;;;;
Apr;10;;;;;
Apr;11;;;;;
Apr;12;;;;;
Apr;13;;;;;
Apr;14;;;;;
Apr;15;;;;;
Apr;16;;;;;
Apr;17;;;;;
Apr;18;;;;;
Apr;19;;;;;
Mai;0;;;;;
Mai;1;;;;;
Mai;2;;;;;
Mai;3;;;;;
Mai;4;;;;;
Mai;5;;;;;
Mai;6;;;;;
Mai;7;;;;;
Mai;8;;;;;
Mai;9;;;;;
Mai;10;;;;;
Mai;11;;;;;
Mai;12;;;;;
Mai;13;;;;;
Mai;14;;;;;
Mai;15;;;;;
Mai;16;;;;;
Mai;17;;;;;
Mai;18;;;;;
Mai;19;;;;;
Jun;0;;;;;
Jun;1;;;;;
Jun;2;;;;;
Jun;3;;;;;
Jun;4;;;;;
Jun;5;;;;;
Jun;6;;;;;
Jun;7;;;;;
Jun;8;;;;;
Jun;9;;;;;
Jun;10;;;;;
Jun;11;;;;;
Jun;12;;;;;
Jun;13;;;;;
Jun;14;;;;;
Jun;15;;;;;
Jun;16;;;;;
Jun;17;;;;;
Jun;18;;;;;
Jun;19;;;;;
Jul;0;;;;;
Jul;1;;;;;
Jul;2;;;;;
Jul;3;;;;;
Jul;4;;;;;
Jul;5;;;;;
Jul;6;;;;;
Jul;7;;;;;
Jul;8;;;;;
Jul;9;;;;;
Jul;10;;;;;
Jul;11;;;;;
Jul;12;;;;;
Jul;13;;;;;
Jul;14;;;;;
Jul;15;;;;;
Jul;16;;;;;
Jul;17;;;;;
Jul;18;;;;;
Jul;19;;;;;
Aug;0;;;;;
Aug;1;;;;;
Aug;2;;;;;
Aug;3;;;;;
Aug;4;;;;;
Aug;5;;;;;
Aug;6;;;;;
Aug;7;;;;;
Aug;8;;;;;
Aug;9;;;;;
Aug;10;;;;;
Aug;11;;;;;
Aug;12;;;;;
Aug;13;;;;;
Aug;14;;;;;
Aug;15;;;;;
Aug;16;;;;;
Aug;17;;;;;
Aug;18;;;;;
Aug;19;;;;;
Sep;0;;;;;
Sep;1;;;;;
Sep;2;;;;;
Sep;3;;;;;
Sep;4;;;;;
Sep;5;;;;;
Sep;6;;;;;
Sep;7;;;;;
Sep;8;;;;;
Sep;9;;;;;
Sep;10;;;;;
Sep;11;;;;;
Sep;12;;;;;
Sep;13;;;;;
Sep;14;;;;;
Sep;15;;;;;
Sep;16;;;;;
Sep;17;;;;;
Sep;18;;;;;
Sep;19;;;;;
Okt;0;;;;;
Okt;1;;;;;
Okt;2;;;;;
Okt;3;;;;;
Okt;4;;;;;
Okt;5;;;;;
Okt;6;;;;;
Okt;7;;;;;
Okt;8;;;;;
Okt;9;;;;;
Okt;10;;;;;
Okt;11;;;;;
Okt;12;;;;;
Okt;13;;;;;
Okt;14;;;;;
Okt;15;;;;;
Okt;16;;;;;
Okt;17;;;;;
Okt;18;;;;;
Okt;19;;;;;
Nov;0;;;;;
Nov;1;;;;;
Nov;2;;;;;
Nov;3;;;;;
Nov;4;;;;;
Nov;5;;;;;
Nov;6;;;;;
Nov;7;;;;;
Nov;8;;;;;
Nov;9;;;;;
Nov;10;;;;;
Nov;11;;;;;
Nov;12;;;;;
Nov;13;;;;;
Nov;14;;;;;
Nov;15;;;;;
Nov;16;;;;;
Nov;17;;;;;
Nov;18;;;;;
Nov;19;;;;;
Dez;0;;;;;
Dez;1;;;;;
Dez;2;;;;;
Dez;3;;;;;
Dez;4;;;;;
Dez;5;;;;;
Dez;6;;;;;
Dez;7;;;;;
Dez;8;;;;;
Dez;9;;;;;
Dez;10;;;;;
Dez;11;;;;;
Dez;12;;;;;
Dez;13;;;;;
Dez;14;;;;;
Dez;15;;;;;
Dez;16;;;;;
Dez;17;;;;;
Dez;18;;;;;
Dez;19;;;;;
